MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Vertex,job_202102081239_0103,8,LiveJournal.vertex,InitializeSampleRD,15,0.01,0.1,8,4847571,68993773,86220856,100954,8540,90533,9068310.550285934,9577825,1.829,1.908,1.047,18965480,0.275,23955469,0.278,0.000283,0.019229,0.022344
Vertex,job_202102081239_1397,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.2,4,1965206,5533214,5533214,20553,2765,15466,3308923.8607415115,3093217,1.002,1.002,1.001,2407508,0.435,2407508,0.435,0.000000,0.000000,0.000000
Vertex,job_202102081239_1342,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.2,4,1965206,5533214,5533214,21219,3393,15439,3344775.5342691825,3281340,1.004,1.004,1.002,2317192,0.419,2317192,0.419,0.000001,0.000002,0.000002
Vertex,job_202102081239_2380,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.2,8,1134890,2987624,5975248,19479,2688,14906,1952884.5695835836,1859454,1.604,1.467,1.048,1211467,0.405,2417113,0.405,0.000458,0.022144,0.014812
Vertex,job_202102081239_2650,8,RoadItaly.vertex,InitializeSampleHD,15,0.01,0.1,8,6686493,7013978,14027956,205632,5529,195304,1.1902207002165161E7,20253737,1.001,1.001,1.001,2912053,0.415,5972542,0.426,0.000000,0.000000,0.000000
Vertex,job_202102081239_1564,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.02,0.15,16,685230,7600595,13298940,17790,3838,13498,1453441.756302382,1087706,1.844,1.939,1.074,1122289,0.148,2033273,0.153,0.000524,0.016488,0.022506
Vertex,job_202102081239_1410,8,RoadCanada.vertex,InitializeSampleHD,15,0.02,0.2,8,1965206,5533214,5533214,31812,2979,26363,3283458.8553517736,3535832,1.025,1.025,1.005,2682936,0.485,2682936,0.485,0.000002,0.000017,0.000017
Vertex,job_202102081239_0216,8,LiveJournal.vertex,InitializeSampleRD,15,0.015,0.15,16,4847571,68993773,86220856,162991,19233,141591,8879105.98986116,9744337,2.652,2.825,1.048,24035481,0.348,30324114,0.352,0.000238,0.026508,0.030759
Vertex,job_202102081239_1988,8,Youtube.vertex,InitializeSampleRD,5,0.01,0.15,16,1134890,2987624,5975248,24780,4008,20325,1929852.951881635,1784622,2.216,1.982,1.048,1392603,0.466,2780901,0.465,0.000202,0.040698,0.027741
Vertex,job_202102081239_1338,8,RoadCanada.vertex,InitializeSampleHD,5,0.01,0.2,8,1965206,5533214,5533214,32670,3032,27210,3325804.340779641,3699584,1.008,1.008,1.006,2597251,0.469,2597251,0.469,0.000005,0.000006,0.000006
Vertex,job_202102081239_1765,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.015,0.15,4,685230,7600595,13298940,12344,3474,6997,1464389.6098566086,957159,1.343,1.382,1.045,727159,0.096,1288929,0.097,0.000123,0.006806,0.008448
Vertex,job_202102081239_1429,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.01,0.1,16,685230,7600595,13298940,16688,3655,12690,1453345.0697157476,1128516,2.164,2.090,1.229,1269694,0.167,2303692,0.173,0.001120,0.029740,0.032897
Vertex,job_202102081239_2366,8,Youtube.vertex,InitializeSampleHD,5,0.02,0.2,16,1134890,2987624,5975248,24228,2837,19403,1929441.515918886,1738069,2.735,2.395,1.047,1444684,0.484,2885335,0.483,0.000164,0.049474,0.033053
Vertex,job_202102081239_1187,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.1,16,1965206,5533214,5533214,36181,2490,31469,2988017.425288969,2696717,1.007,1.007,1.005,3429586,0.620,3429586,0.620,0.000002,0.000002,0.000002
Vertex,job_202102081239_0313,8,LiveJournal.vertex,InitializeSampleRD,10,0.02,0.2,16,4847571,68993773,86220856,159512,10324,146602,8941700.136464773,9920810,2.691,2.877,1.048,23961507,0.347,30267080,0.351,0.000236,0.025988,0.029893
Vertex,job_202102081239_1189,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.1,4,1965206,5533214,5533214,22227,4024,15984,3281817.503258943,3245124,1.002,1.002,1.002,2435292,0.440,2435292,0.440,0.000001,0.000001,0.000001
Vertex,job_202102081239_2605,8,RoadItaly.vertex,InitializeSampleRD,5,0.02,0.2,8,6686493,7013978,14027956,201450,6948,193155,1.1912049196259143E7,20377341,1.001,1.002,1.001,2895840,0.413,5952930,0.424,0.000000,0.000000,0.000000
Vertex,job_202102081239_2042,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.15,16,1134890,2987624,5975248,21412,3329,17565,1908050.1651074346,1712586,2.420,2.146,1.046,1503151,0.503,2999429,0.502,0.000160,0.045714,0.030677
Vertex,job_202102081239_1998,8,Youtube.vertex,InitializeSampleRD,10,0.01,0.15,16,1134890,2987624,5975248,23427,3497,19356,1915360.9912910338,1769593,2.670,2.299,1.047,1433732,0.480,2862109,0.479,0.000164,0.043218,0.028700
Vertex,job_202102081239_0721,8,BerkeleyStan.vertex,InitializeSampleGD,0,0.015,0.15,4,685230,7600595,13298940,13417,4180,7108,1446718.275571285,965968,1.304,1.321,1.031,697173,0.092,1217248,0.092,0.000100,0.008678,0.010121
Vertex,job_202102081239_1206,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.1,16,1965206,5533214,5533214,36408,2265,31858,2984994.0782651054,2694725,1.004,1.004,1.005,3433911,0.621,3433911,0.621,0.000001,0.000001,0.000001
Vertex,job_202102081239_1735,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.02,0.1,16,685230,7600595,13298940,19703,3146,14883,1406431.2787968367,1102147,1.853,1.985,1.050,1586125,0.209,2903074,0.218,0.000606,0.021238,0.029073
Vertex,job_202102081239_1937,8,Youtube.vertex,InitializeSampleRD,10,0.015,0.1,4,1134890,2987624,5975248,14918,3641,10896,1941945.7886527725,1852703,1.232,1.187,1.038,939214,0.314,1873776,0.314,0.000478,0.012490,0.009534
Vertex,job_202102081239_0164,8,LiveJournal.vertex,InitializeSampleRD,5,0.01,0.15,4,4847571,68993773,86220856,85607,10237,72714,9415423.45953605,9259736,1.304,1.336,1.045,14157753,0.205,17853323,0.207,0.000372,0.006304,0.007684
Vertex,job_202102081239_0996,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.1,8,1965206,5533214,5533214,32754,2983,29186,3319628.5444685477,3809977,1.004,1.004,1.002,2605946,0.471,2605946,0.471,0.000000,0.000001,0.000001
Vertex,job_202102081239_0849,8,RoadItaly.vertex,InitializeSampleGD,0,0.01,0.1,4,6686493,7013978,14027956,106883,7097,95073,1.1439426229705276E7,14708563,1.001,1.001,1.000,2975197,0.424,6047099,0.431,0.000000,0.000000,0.000000
Vertex,job_202102081239_1108,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.2,4,1965206,5533214,5533214,20740,3672,16627,3360093.285561829,3340450,1.005,1.005,1.003,2298962,0.415,2298962,0.415,0.000001,0.000002,0.000002
Vertex,job_202102081239_2840,8,RoadItaly.vertex,InitializeSampleHD,15,0.015,0.2,8,6686493,7013978,14027956,213083,7045,201371,1.1915035948834851E7,20291837,1.003,1.003,1.001,2905307,0.414,5959910,0.425,0.000000,0.000000,0.000000
Vertex,job_202102081239_2137,8,Youtube.vertex,InitializeSampleRD,15,0.02,0.2,8,1134890,2987624,5975248,18475,3762,14169,1939807.2919501783,1811566,1.964,1.836,1.048,1146207,0.384,2287032,0.383,0.000401,0.037112,0.025777
Vertex,job_202102081239_1157,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.2,8,1965206,5533214,5533214,32113,3587,27989,3332020.142065171,3782218,1.005,1.005,1.004,2583555,0.467,2583555,0.467,0.000001,0.000002,0.000002
Vertex,job_202102081239_2073,8,Youtube.vertex,InitializeSampleRD,10,0.01,0.2,4,1134890,2987624,5975248,12792,3292,9017,1903681.5157602194,1635804,1.910,1.718,1.047,1029718,0.345,2054536,0.344,0.000331,0.043894,0.028066
Vertex,job_202102081239_1057,8,RoadCanada.vertex,InitializeSampleRD,15,0.015,0.15,8,1965206,5533214,5533214,33459,3759,29314,3318469.6586579303,3796810,1.005,1.005,1.004,2612191,0.472,2612191,0.472,0.000001,0.000002,0.000002
Vertex,job_202102081239_2581,8,RoadItaly.vertex,InitializeSampleRD,5,0.015,0.2,16,6686493,7013978,14027956,407150,6939,398801,1.2424539847726254E7,25406598,1.008,1.008,1.007,2679528,0.382,5602243,0.399,0.000003,0.000003,0.000004
Vertex,job_202102081239_1477,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.02,0.1,4,685230,7600595,13298940,16234,8817,7113,1447338.7697000084,968578,1.366,1.379,1.029,686807,0.090,1190981,0.090,0.000106,0.010267,0.010748
Vertex,job_202102081239_0078,8,LiveJournal.vertex,InitializeSampleGD,0,0.02,0.2,8,4847571,68993773,86220856,115119,12954,94435,9126603.133946083,9559478,1.910,2.006,1.047,18627818,0.270,23581825,0.274,0.000377,0.021907,0.024872
Vertex,job_202102081239_0539,8,LiveJournal.vertex,InitializeSampleHD,15,0.015,0.2,16,4847571,68993773,86220856,166015,11449,146482,8912262.9068683,9897095,2.759,2.950,1.048,24192043,0.351,30563072,0.354,0.000193,0.027259,0.031791
Vertex,job_202102081239_2043,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.15,16,1134890,2987624,5975248,20373,4199,15665,1906256.30616894,1684608,2.867,2.466,1.043,1523736,0.510,3036193,0.508,0.000097,0.046508,0.031282
Vertex,job_202102081239_0724,8,BerkeleyStan.vertex,InitializeSampleGD,0,0.015,0.15,8,685230,7600595,13298940,16000,4401,9552,1487636.666315155,1053635,1.384,1.461,1.048,854950,0.112,1558610,0.117,0.000192,0.007292,0.010817
