MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202102222248_0387,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.2,16,1134890,2987624,5975248,101938,10595,25973,773868.065621014,2217207,1.051,1.086,1.595,1478311,0.495,2944719,0.493,0.030686,0.000165,0.000591
Edge,job_202102221335_0153,8,RoadCanada.vertex,InitializeSampleCC,10,0.01,0.15,4,1965206,5533214,5533214,28399,5827,21068,1173110.4514928134,3894705,1.006,1.006,1.006,2287770,0.413,2287770,0.413,0.000004,0.000004,0.000004
Edge,job_202102222248_0106,8,Youtube.vertex,InitializeSampleCC,10,0.02,0.1,4,1134890,2987624,5975248,90535,12520,16834,855792.5574764155,1983114,1.010,1.036,1.206,816007,0.273,1629212,0.273,0.006068,0.000038,0.000112
Edge,job_202102221335_0177,8,RoadCanada.vertex,InitializeSampleCC,15,0.01,0.15,16,1965206,5533214,5533214,78107,5101,71343,1084293.5687457263,5806030,1.019,1.019,1.019,2534299,0.458,2534299,0.458,0.000031,0.000026,0.000026
Edge,job_202102222248_0090,8,Youtube.vertex,InitializeSampleCC,15,0.015,0.1,16,1134890,2987624,5975248,94741,11429,19794,772576.5984961574,2319614,1.025,1.091,1.532,1611274,0.539,3201335,0.536,0.027082,0.000073,0.000711
Edge,job_202102221335_0065,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.1,4,1965206,5533214,5533214,25344,4184,19685,1164750.863650164,3834526,1.007,1.007,1.007,2308215,0.417,2308215,0.417,0.000004,0.000004,0.000004
Edge,job_202102222248_0289,8,Youtube.vertex,InitializeSampleCC,10,0.01,0.2,4,1134890,2987624,5975248,92766,11015,16493,840383.3107023521,1919107,1.036,1.004,1.225,911146,0.305,1819821,0.305,0.003439,0.000138,0.000003
Edge,job_202102221335_0342,8,RoadCanada.vertex,InitializeSampleCC,10,0.015,0.2,16,1965206,5533214,5533214,79875,5795,72425,1078442.8265232546,5710074,1.020,1.020,1.014,2550537,0.461,2550537,0.461,0.000019,0.000023,0.000023
Edge,job_202102221335_0234,8,RoadCanada.vertex,InitializeSampleCC,5,0.02,0.15,8,1965206,5533214,5533214,45163,5348,38238,1111362.4062374504,4891989,1.012,1.012,1.010,2449797,0.443,2449797,0.443,0.000005,0.000010,0.000010
Edge,job_202102222248_0697,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.2,8,6686493,7013978,14027956,82685,15395,63412,2396888.6734952545,8934482,1.002,1.005,1.009,4736653,0.675,9473462,0.675,0.000007,0.000000,0.000001
Edge,job_202102222248_0695,8,RoadItaly.vertex,InitializeSampleCC,10,0.01,0.2,4,6686493,7013978,14027956,53466,17470,32428,3145004.118627485,7779892,1.002,1.002,1.003,3981655,0.568,7963358,0.568,0.000001,0.000001,0.000001
Edge,job_202102221335_0286,8,RoadCanada.vertex,InitializeSampleCC,5,0.01,0.2,16,1965206,5533214,5533214,81753,7018,73255,1079577.7037291527,5774606,1.017,1.017,1.017,2547890,0.460,2547890,0.460,0.000014,0.000019,0.000019
Edge,job_202102222248_0782,8,RoadItaly.vertex,InitializeSampleCC,10,0.02,0.2,4,6686493,7013978,14027956,48382,15812,28872,3092741.6952123223,7592820,1.002,1.003,1.001,4038663,0.576,8076985,0.576,0.000000,0.000001,0.000001
Edge,job_202102222248_0684,8,RoadItaly.vertex,InitializeSampleCC,5,0.01,0.2,8,6686493,7013978,14027956,83876,17218,63283,2386263.933336162,8903569,1.004,1.004,1.008,4746750,0.677,9493185,0.677,0.000009,0.000002,0.000002
