MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_0252,8,Youtube.vertex,InitializeSampleRD,10,0.01,0.1,16,1134890,2987624,5975248,30472,3748,26199,794269.9566337767,2356680,1.057,1.077,1.454,1472239,0.493,2935996,0.491,0.026968,0.000167,0.000483
Edge,job_202101261615_0267,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.1,16,1134890,2987624,5975248,21760,3824,17445,802529.0001479781,2386980,1.033,1.079,1.414,1629483,0.545,3240407,0.542,0.026219,0.000059,0.000593
Edge,job_202101261615_0586,8,RoadCanada.vertex,InitializeSampleHD,15,0.015,0.1,4,1965206,5533214,5533214,23565,2435,18676,1163965.0490032437,3821742,1.005,1.005,1.005,2315159,0.418,2315159,0.418,0.000003,0.000003,0.000003
Edge,job_202101261615_0385,8,Youtube.vertex,InitializeSampleHD,10,0.01,0.2,4,1134890,2987624,5975248,20308,2999,15355,832739.5961805759,1867189,1.037,1.026,1.066,882183,0.295,1763548,0.295,0.000394,0.000245,0.000043
Edge,job_202101261615_0525,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.15,16,1965206,5533214,5533214,76596,3871,72192,1089136.6699678192,5841128,1.019,1.019,1.015,2520064,0.455,2520064,0.455,0.000018,0.000022,0.000022
Edge,job_202101261615_0352,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.1,4,1134890,2987624,5975248,20984,2424,16575,833925.9137381653,1885718,1.048,1.038,1.173,887631,0.297,1770891,0.296,0.004493,0.000210,0.000153
Edge,job_202101261615_0465,8,Youtube.vertex,InitializeSampleGD,5,0.01,0.2,16,1134890,2987624,5975248,35268,2856,30450,819293.1042436616,2584722,1.058,1.047,1.438,1474977,0.494,2944150,0.493,0.033173,0.000132,0.000457
Edge,job_202101261615_0495,8,RoadCanada.vertex,InitializeSampleRD,10,0.01,0.1,16,1965206,5533214,5533214,83749,6319,76935,1103607.8157465765,6181533,1.017,1.017,1.016,2480172,0.448,2480172,0.448,0.000020,0.000021,0.000021
Edge,job_202101261615_0733,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.01,0.1,4,685230,7600595,13298940,12085,3328,8392,575395.4403013198,1080710,1.046,1.046,1.198,896125,0.118,1563227,0.118,0.013239,0.000473,0.000427
Edge,job_202101261615_0637,8,RoadCanada.vertex,InitializeSampleHD,10,0.015,0.2,4,1965206,5533214,5533214,22951,2809,17731,1163944.5074142565,3502299,1.004,1.004,1.008,2332579,0.422,2332579,0.422,0.000009,0.000002,0.000002
Edge,job_202101261615_0690,8,RoadCanada.vertex,InitializeSampleGD,5,0.015,0.15,16,1965206,5533214,5533214,79644,2950,74141,1099788.305349391,5880997,1.017,1.017,1.016,2494432,0.451,2494432,0.451,0.000019,0.000022,0.000022
Edge,job_202101261615_0407,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.2,8,1134890,2987624,5975248,23983,3333,18831,792167.1680142164,2089278,1.043,1.053,1.395,1243842,0.416,2477661,0.415,0.017943,0.000111,0.000279
Edge,job_202101261615_0279,8,Youtube.vertex,InitializeSampleRD,10,0.01,0.15,16,1134890,2987624,5975248,26087,3767,21765,805789.1538738384,2364354,1.039,1.070,1.430,1577951,0.528,3142683,0.526,0.031100,0.000143,0.000532
Edge,job_202101261615_0466,8,Youtube.vertex,InitializeSampleGD,10,0.01,0.2,4,1134890,2987624,5975248,21501,2742,16855,837798.6288105571,2253935,1.047,1.043,1.231,820426,0.275,1637963,0.274,0.003299,0.000366,0.000199
Edge,job_202101261615_0546,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.2,16,1965206,5533214,5533214,76803,3918,72290,1091027.8017922994,5785648,1.019,1.019,1.021,2520765,0.456,2520765,0.456,0.000023,0.000020,0.000020
Edge,job_202101261615_0409,8,Youtube.vertex,InitializeSampleGD,5,0.01,0.1,4,1134890,2987624,5975248,18792,2715,14180,820513.9950946396,1981565,1.023,1.033,1.037,833437,0.279,1659234,0.278,0.000479,0.000036,0.000149
Edge,job_202101261615_0594,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.1,16,1965206,5533214,5533214,77043,1789,72819,1099846.9041424016,5938815,1.018,1.018,1.016,2492897,0.451,2492897,0.451,0.000016,0.000020,0.000020
Edge,job_202101261615_0291,8,Youtube.vertex,InitializeSampleRD,15,0.015,0.15,16,1134890,2987624,5975248,32757,3541,28821,777619.9164519622,2399021,1.042,1.062,1.405,1461394,0.489,2915672,0.488,0.034947,0.000199,0.000404
Edge,job_202101261615_0323,8,Youtube.vertex,InitializeSampleRD,10,0.02,0.2,8,1134890,2987624,5975248,25520,3602,21453,808069.0936058336,2143675,1.036,1.050,1.380,1112462,0.372,2223127,0.372,0.007483,0.000096,0.000338
Edge,job_202101261615_0725,8,RoadCanada.vertex,InitializeSampleGD,5,0.02,0.2,8,1965206,5533214,5533214,42362,3846,36175,1116555.4945864559,4807207,1.013,1.013,1.009,2443646,0.442,2443646,0.442,0.000004,0.000010,0.000010
Edge,job_202101261615_0353,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.1,8,1134890,2987624,5975248,25629,2388,21229,810409.1586992351,2424746,1.048,1.061,1.307,1232786,0.413,2460427,0.412,0.027178,0.000298,0.000272
Edge,job_202101261615_0714,8,RoadCanada.vertex,InitializeSampleGD,15,0.01,0.2,16,1965206,5533214,5533214,76206,5083,68656,1093862.9828721324,5610230,1.015,1.015,1.018,2515940,0.455,2515940,0.455,0.000015,0.000018,0.000018
Edge,job_202101261615_0539,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.15,8,1965206,5533214,5533214,40844,3308,36956,1118556.8749215098,4926731,1.012,1.012,1.013,2429613,0.439,2429613,0.439,0.000012,0.000009,0.000009
Edge,job_202101261615_0540,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.15,16,1965206,5533214,5533214,74719,3062,70875,1090854.7283486212,5716739,1.017,1.017,1.020,2517298,0.455,2517298,0.455,0.000018,0.000017,0.000017
Edge,job_202101261615_0629,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.2,8,1965206,5533214,5533214,42852,3429,37092,1115669.4696041383,4973137,1.014,1.014,1.021,2435591,0.440,2435591,0.440,0.000040,0.000011,0.000011
Edge,job_202101261615_0606,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.15,16,1965206,5533214,5533214,80984,2619,75857,1091457.2631735369,6096812,1.018,1.018,1.028,2515733,0.455,2515733,0.455,0.000035,0.000020,0.000020
Edge,job_202101261615_0483,8,Youtube.vertex,InitializeSampleGD,5,0.02,0.2,16,1134890,2987624,5975248,30046,2837,25229,794677.9165025486,2355037,1.061,1.068,1.403,1445245,0.484,2879194,0.482,0.025154,0.000240,0.000376
Edge,job_202101261615_0716,8,RoadCanada.vertex,InitializeSampleGD,5,0.015,0.2,8,1965206,5533214,5533214,42275,4288,35545,1115826.695397295,4800594,1.011,1.011,1.006,2440601,0.441,2440601,0.441,0.000004,0.000008,0.000008
Edge,job_202101261615_0399,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.2,16,1134890,2987624,5975248,20308,2635,15534,810850.0294916562,2390053,1.035,1.082,1.389,1636333,0.548,3254027,0.545,0.024888,0.000105,0.000847
Edge,job_202101261615_0266,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.1,8,1134890,2987624,5975248,25102,3369,21257,798653.0784169621,2287129,1.047,1.038,1.351,1183114,0.396,2365027,0.396,0.021107,0.000300,0.000155
Edge,job_202101261615_0748,8,BerkeleyStan.vertex,InitializeSampleRD,15,0.015,0.1,4,685230,7600595,13298940,10568,3764,6440,590945.9559862347,1008103,1.022,1.037,1.325,832762,0.110,1451494,0.109,0.010882,0.000047,0.000202
Edge,job_202101261615_0605,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.15,8,1965206,5533214,5533214,45389,3056,40060,1121372.6372539678,5311061,1.012,1.012,1.013,2415968,0.437,2415968,0.437,0.000016,0.000008,0.000008
Edge,job_202101261615_0294,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.15,16,1134890,2987624,5975248,25795,3358,21845,781550.800451419,2249191,1.031,1.068,1.483,1565914,0.524,3113145,0.521,0.027207,0.000092,0.000540
Edge,job_202101261615_0343,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.1,4,1134890,2987624,5975248,20264,2885,15448,821505.1623745138,1966536,1.036,1.010,1.242,927938,0.311,1844477,0.309,0.008914,0.000084,0.000006
Edge,job_202101261615_0580,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.1,4,1965206,5533214,5533214,24975,2504,20240,1163966.1985070626,3962563,1.006,1.006,1.011,2313934,0.418,2313934,0.418,0.000014,0.000003,0.000003
Edge,job_202101261615_0288,8,Youtube.vertex,InitializeSampleRD,10,0.015,0.15,16,1134890,2987624,5975248,31425,3622,27304,806591.8045692273,2447945,1.099,1.055,1.461,1497369,0.501,2972368,0.497,0.034858,0.000185,0.000413
Edge,job_202101261615_0736,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.01,0.1,4,685230,7600595,13298940,14983,7587,7088,589127.9112240457,1028156,1.050,1.118,1.251,1152827,0.152,2069627,0.156,0.009948,0.000452,0.001355
Edge,job_202101261615_0427,8,Youtube.vertex,InitializeSampleGD,5,0.02,0.1,4,1134890,2987624,5975248,20340,2904,15676,816775.3102525293,1958472,1.048,1.047,1.221,857121,0.287,1712722,0.287,0.004591,0.000256,0.000160
Edge,job_202101261615_0576,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.1,16,1965206,5533214,5533214,75893,2813,70583,1100938.6003482526,5835266,1.018,1.018,1.024,2490922,0.450,2490922,0.450,0.000033,0.000023,0.000023
Edge,job_202101261615_0284,8,Youtube.vertex,InitializeSampleRD,5,0.015,0.15,8,1134890,2987624,5975248,26010,3632,21826,792162.0837618471,2204269,1.050,1.046,1.303,1214961,0.407,2428981,0.407,0.018609,0.000193,0.000213
Edge,job_202101261615_0487,8,Youtube.vertex,InitializeSampleGD,15,0.02,0.2,4,1134890,2987624,5975248,20836,2724,16170,849830.4720780897,2190051,1.039,1.022,1.163,855023,0.286,1706591,0.286,0.004672,0.000197,0.000097
Edge,job_202101261615_0682,8,RoadCanada.vertex,InitializeSampleGD,10,0.01,0.15,4,1965206,5533214,5533214,27152,3633,21182,1179459.5232219216,4035304,1.006,1.006,1.007,2276885,0.411,2276885,0.411,0.000003,0.000003,0.000003
Edge,job_202101261615_0293,8,Youtube.vertex,InitializeSampleRD,5,0.02,0.15,8,1134890,2987624,5975248,23101,3259,19417,829065.9919104826,2313241,1.048,1.037,1.424,1148972,0.385,2293886,0.384,0.013453,0.000192,0.000170
Edge,job_202101261615_0582,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.1,16,1965206,5533214,5533214,78718,2217,74203,1094003.0824911466,5935442,1.019,1.019,1.014,2508152,0.453,2508152,0.453,0.000017,0.000023,0.000023
Edge,job_202101261615_0574,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.1,4,1965206,5533214,5533214,23116,2711,18202,1161283.4141734953,3741426,1.006,1.006,1.003,2330854,0.421,2330854,0.421,0.000001,0.000003,0.000003
Edge,job_202101261615_0274,8,Youtube.vertex,InitializeSampleRD,5,0.01,0.15,4,1134890,2987624,5975248,17066,3971,12658,819471.508744628,2012855,1.045,1.031,1.396,963476,0.322,1914791,0.320,0.010128,0.000124,0.000106
Edge,job_202101261615_0604,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.15,4,1965206,5533214,5533214,25228,2990,19948,1163351.71060332,3859811,1.005,1.005,1.010,2322560,0.420,2322560,0.420,0.000015,0.000002,0.000002
Edge,job_202101261615_0681,8,RoadCanada.vertex,InitializeSampleGD,5,0.01,0.15,16,1965206,5533214,5533214,78973,3656,72897,1094501.592300415,5781200,1.017,1.017,1.024,2509892,0.454,2509892,0.454,0.000014,0.000023,0.000023
Edge,job_202101261615_0312,8,Youtube.vertex,InitializeSampleRD,5,0.015,0.2,16,1134890,2987624,5975248,32471,3790,28092,809443.1561000689,2325651,1.048,1.074,1.476,1433946,0.480,2860478,0.479,0.026752,0.000126,0.000453
Edge,job_202101261615_0708,8,RoadCanada.vertex,InitializeSampleGD,5,0.01,0.2,16,1965206,5533214,5533214,81671,4773,74292,1098526.0952377087,5987783,1.017,1.017,1.020,2498544,0.452,2498544,0.452,0.000028,0.000024,0.000024
Edge,job_202101261615_0412,8,Youtube.vertex,InitializeSampleGD,10,0.01,0.1,4,1134890,2987624,5975248,22168,3270,17102,818727.8568623265,2104218,1.038,1.044,1.169,924394,0.309,1845347,0.309,0.007842,0.000091,0.000142
Edge,job_202101261615_0634,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.2,4,1965206,5533214,5533214,23677,3083,18099,1169893.4707935022,3654774,1.006,1.006,1.019,2308193,0.417,2308193,0.417,0.000031,0.000003,0.000003
Edge,job_202101261615_0429,8,Youtube.vertex,InitializeSampleGD,5,0.02,0.1,16,1134890,2987624,5975248,35226,2678,30491,765679.4528781438,2298179,1.088,1.070,1.377,1454244,0.487,2893757,0.484,0.026635,0.000408,0.000429
