MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_3161,8,Youtube.vertex,InitializeSampleRD,10,0.02,0.15,16,1134890,2987624,5975248,20713,3808,16416,745322.2131897821,2141420,1.047,1.091,1.406,1708183,0.572,3398368,0.569,0.020559,0.000502,0.001144
Edge,job_202101261615_6344,8,LiveJournal.vertex,InitializeSampleRD,5,0.015,0.1,4,4847571,68993773,86220856,99905,9597,88156,3810574.8108164533,9635097,1.033,1.019,1.193,12760857,0.185,16057747,0.186,0.008993,0.000149,0.000058
Edge,job_202101261615_5287,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.015,0.2,16,685230,7600595,13298940,19578,3828,13571,553638.8035937122,1183237,1.050,1.389,1.352,1507750,0.198,2774306,0.209,0.008593,0.000220,0.004232
Edge,job_202101261615_5578,8,RoadItaly.vertex,InitializeSampleRD,10,0.02,0.15,4,6686493,7013978,14027956,41873,6217,34362,3049651.501223183,8020963,1.002,1.003,1.003,4081310,0.582,8162819,0.582,0.000002,0.000000,0.000001
Edge,job_202101261615_5915,8,RoadItaly.vertex,InitializeSampleHD,15,0.01,0.15,8,6686493,7013978,14027956,76363,6814,64685,2303613.4898838433,8691538,1.003,1.004,1.004,4846027,0.691,9691717,0.691,0.000003,0.000001,0.000001
Edge,job_202101261615_5462,8,RoadItaly.vertex,InitializeSampleRD,15,0.02,0.1,8,6686493,7013978,14027956,73777,6369,66159,2331380.812489961,9228216,1.005,1.004,1.004,4795941,0.684,9591726,0.684,0.000002,0.000002,0.000002
Edge,job_202101261615_5294,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.02,0.2,4,685230,7600595,13298940,14420,3542,9164,604565.4095559996,1021306,1.036,1.048,1.366,739605,0.097,1266546,0.095,0.008244,0.000367,0.000136
Edge,job_202101261615_3413,8,Youtube.vertex,InitializeSampleHD,5,0.02,0.1,16,1134890,2987624,5975248,18594,2611,14017,780565.934733889,2233470,1.037,1.111,1.496,1716596,0.575,3414848,0.571,0.027314,0.000051,0.001009
Edge,job_202101261615_6888,8,LiveJournal.vertex,InitializeSampleHD,5,0.015,0.15,8,4847571,68993773,86220856,138753,11646,119034,3377208.2806459293,10879383,1.050,1.141,1.251,22116369,0.321,28015038,0.325,0.012664,0.000098,0.000522
Edge,job_202101261615_4797,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.01,0.2,4,685230,7600595,13298940,11612,4069,7137,604843.2929081825,965976,1.005,1.057,1.178,625742,0.082,1057357,0.080,0.001909,0.000005,0.000319
Edge,job_202101261615_4440,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.2,4,1965206,5533214,5533214,23264,2847,18185,1168440.5698576474,3543770,1.005,1.005,1.008,2327982,0.421,2327982,0.421,0.000010,0.000002,0.000002
Edge,job_202101261615_2705,8,BerkeleyStan.vertex,InitializeSampleGD,0,0.015,0.15,8,685230,7600595,13298940,15634,3966,9583,533184.7361203469,1110426,1.049,1.149,1.272,1610044,0.212,2875125,0.216,0.007023,0.000073,0.001071
Edge,job_202101261615_5160,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.02,0.15,4,685230,7600595,13298940,12788,3495,7480,584048.7192234122,999199,1.016,1.034,1.090,870209,0.114,1520228,0.114,0.001714,0.000026,0.000105
Edge,job_202101261615_6710,8,LiveJournal.vertex,InitializeSampleHD,5,0.01,0.1,8,4847571,68993773,86220856,145837,10597,127284,3329774.5297095375,10780057,1.049,1.131,1.225,22873012,0.332,28988392,0.336,0.012848,0.000168,0.000499
Edge,job_202101261615_5560,8,RoadItaly.vertex,InitializeSampleRD,15,0.015,0.15,16,6686493,7013978,14027956,139368,6310,131485,2006982.4418623946,10374612,1.009,1.011,1.006,5101076,0.727,10201321,0.727,0.000008,0.000007,0.000007
Edge,job_202101261615_4013,8,RoadCanada.vertex,InitializeSampleRD,10,0.01,0.2,16,1965206,5533214,5533214,77527,3913,72973,1092179.4564742495,5945239,1.016,1.016,1.022,2513690,0.454,2513690,0.454,0.000023,0.000021,0.000021
Edge,job_202101261615_5580,8,RoadItaly.vertex,InitializeSampleRD,10,0.02,0.15,4,6686493,7013978,14027956,49696,6689,41593,3054093.544215125,8080550,1.001,1.001,1.002,4085777,0.583,8171742,0.583,0.000001,0.000000,0.000000
Edge,job_202101261615_5682,8,RoadItaly.vertex,InitializeSampleRD,15,0.015,0.2,4,6686493,7013978,14027956,40098,6975,31987,3109860.2667233907,7657398,1.001,1.002,1.001,4021153,0.573,8042400,0.573,0.000000,0.000000,0.000001
Edge,job_202101261615_3719,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.1,4,1965206,5533214,5533214,24271,3039,20683,1168914.6273649074,4028195,1.006,1.006,1.005,2303967,0.416,2303967,0.416,0.000002,0.000003,0.000003
Edge,job_202101261615_5526,8,RoadItaly.vertex,InitializeSampleRD,5,0.015,0.15,8,6686493,7013978,14027956,71182,6834,62889,2334405.3000970758,9069390,1.006,1.005,1.008,4790961,0.683,9581064,0.683,0.000006,0.000003,0.000002
Edge,job_202101261615_2925,8,Youtube.vertex,InitializeSampleRD,10,0.01,0.1,4,1134890,2987624,5975248,18922,3997,14549,818426.808363279,1961431,1.053,1.014,1.263,1026300,0.344,2050007,0.343,0.013698,0.000185,0.000049
