MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_0906,8,Youtube.vertex,InitializeSampleHD,10,0.015,0.2,4,1134890,2987624,5975248,22005,3110,16985,871156.5061379104,1987616,1.046,1.033,1.129,831910,0.278,1663188,0.278,0.002999,0.000130,0.000157
Edge,job_202101261615_1031,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.15,16,1965206,5533214,5533214,78916,4084,74279,1091856.7924603608,5974832,1.018,1.018,1.014,2511788,0.454,2511788,0.454,0.000012,0.000019,0.000019
Edge,job_202101261615_1304,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.01,0.2,16,685230,7600595,13298940,21089,5669,15066,528679.4277066456,1218232,1.050,1.375,1.461,1717050,0.226,3133468,0.236,0.019753,0.000483,0.004413
Edge,job_202101261615_0909,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.2,4,1134890,2987624,5975248,19809,2802,14939,855756.6954431465,2047891,1.041,1.018,1.200,778954,0.261,1552895,0.260,0.007401,0.000101,0.000040
Edge,job_202101261615_1152,8,RoadCanada.vertex,InitializeSampleHD,15,0.015,0.2,4,1965206,5533214,5533214,24386,3159,18818,1173917.944697887,3679609,1.006,1.006,1.006,2297807,0.415,2297807,0.415,0.000004,0.000003,0.000003
Edge,job_202101261615_1483,8,BerkeleyStan.vertex,InitializeSampleGD,10,0.02,0.2,8,685230,7600595,13298940,16630,3756,11107,527174.1851895282,1106387,1.049,1.143,1.392,1530046,0.201,2700599,0.203,0.008620,0.000311,0.001603
Edge,job_202101261615_1470,8,BerkeleyStan.vertex,InitializeSampleGD,5,0.015,0.2,4,685230,7600595,13298940,14195,4234,7970,581862.8951451979,998177,1.041,1.064,1.101,908137,0.119,1597581,0.120,0.001715,0.000235,0.000591
Edge,job_202101261615_1210,8,RoadCanada.vertex,InitializeSampleGD,5,0.02,0.15,8,1965206,5533214,5533214,44592,3101,39297,1125564.3375072468,5205644,1.011,1.011,1.008,2409502,0.435,2409502,0.435,0.000003,0.000008,0.000008
Edge,job_202101261615_1519,8,BerkeleyStan.vertex,BGRAP,5,0.01,0.1,4,685230,7600595,13298940,12005,0,11463,505731.3750278996,1161101,1.050,1.136,1.148,1469881,0.193,2518213,0.189,0.004575,0.000410,0.002029
Edge,job_202101261615_1184,8,RoadCanada.vertex,InitializeSampleGD,5,0.02,0.1,16,1965206,5533214,5533214,82293,3464,76528,1095572.5822698867,6083158,1.016,1.016,1.018,2502205,0.452,2502205,0.452,0.000019,0.000020,0.000020
Edge,job_202101261615_0796,8,Youtube.vertex,InitializeSampleRD,5,0.015,0.15,8,1134890,2987624,5975248,26490,3872,22085,800631.8931394242,2151664,1.043,1.030,1.403,1177037,0.394,2347537,0.393,0.009768,0.000188,0.000104
Edge,job_202101261615_1498,8,Youtube.vertex,BGRAP,5,0.01,0.1,16,1134890,2987624,5975248,48926,0,48296,657345.1158684213,2730774,1.047,1.060,1.301,1399662,0.468,2802981,0.469,0.011041,0.000462,0.000286
Edge,job_202101261615_1036,8,RoadCanada.vertex,InitializeSampleRD,15,0.01,0.15,8,1965206,5533214,5533214,42592,3773,38341,1114981.5981586147,5112166,1.012,1.012,1.008,2440158,0.441,2440158,0.441,0.000003,0.000008,0.000008
Edge,job_202101261615_0908,8,Youtube.vertex,InitializeSampleHD,10,0.015,0.2,16,1134890,2987624,5975248,23279,3182,18177,794169.223838965,2268726,1.044,1.070,1.450,1596986,0.535,3173707,0.531,0.026004,0.000067,0.000629
Edge,job_202101261615_0999,8,Youtube.vertex,InitializeSampleGD,15,0.02,0.2,4,1134890,2987624,5975248,21842,3085,16732,848062.1695394355,2122213,1.020,1.012,1.114,799299,0.268,1596814,0.267,0.002272,0.000030,0.000016
Edge,job_202101261615_1294,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.02,0.15,8,685230,7600595,13298940,13584,3322,9761,588112.0822269917,1084564,1.050,1.172,1.536,795301,0.105,1387977,0.104,0.022906,0.000302,0.001109
Edge,job_202101261615_1247,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.01,0.1,16,685230,7600595,13298940,21110,3535,17192,532391.8022262249,1183576,1.050,1.388,1.488,1678468,0.221,3073229,0.231,0.017847,0.000271,0.003593
Edge,job_202101261615_1477,8,BerkeleyStan.vertex,InitializeSampleGD,15,0.015,0.2,8,685230,7600595,13298940,17546,3752,11972,559514.0930161184,1150661,1.050,1.154,1.455,1439217,0.189,2592058,0.195,0.009220,0.000381,0.002575
Edge,job_202101261615_1413,8,BerkeleyStan.vertex,InitializeSampleGD,15,0.01,0.1,4,685230,7600595,13298940,15269,5361,8176,571026.2568328636,1035754,1.049,1.053,1.233,1023874,0.135,1770230,0.133,0.003893,0.000469,0.000880
Edge,job_202101261615_1182,8,RoadCanada.vertex,InitializeSampleGD,5,0.02,0.1,4,1965206,5533214,5533214,23354,2312,18777,1165327.117284209,3770523,1.003,1.003,1.002,2324664,0.420,2324664,0.420,0.000001,0.000002,0.000002
Edge,job_202101261615_1242,8,RoadCanada.vertex,InitializeSampleGD,15,0.02,0.2,4,1965206,5533214,5533214,24921,3804,18639,1184719.4619059353,3741814,1.007,1.007,1.007,2259082,0.408,2259082,0.408,0.000005,0.000004,0.000004
Edge,job_202101261615_1140,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.2,4,1965206,5533214,5533214,24148,3272,18636,1165827.7846835174,3641784,1.006,1.006,1.006,2323940,0.420,2323940,0.420,0.000005,0.000003,0.000003
Edge,job_202101261615_0982,8,Youtube.vertex,InitializeSampleGD,15,0.01,0.2,8,1134890,2987624,5975248,20088,2500,15630,760770.43915502,2118348,1.057,1.022,1.240,1303995,0.436,2579552,0.432,0.005641,0.000159,0.000050
Edge,job_202101261615_1179,8,RoadCanada.vertex,InitializeSampleGD,15,0.015,0.1,4,1965206,5533214,5533214,24374,2741,19367,1166936.2462376563,3860100,1.006,1.006,1.006,2308003,0.417,2308003,0.417,0.000002,0.000003,0.000003
Edge,job_202101261615_0915,8,Youtube.vertex,InitializeSampleHD,10,0.02,0.2,4,1134890,2987624,5975248,22726,3653,17123,840293.9891373188,2088927,1.020,1.013,1.335,866524,0.290,1730351,0.290,0.006957,0.000074,0.000026
Edge,job_202101261615_1292,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.02,0.15,16,685230,7600595,13298940,18053,3423,14206,560615.1548512911,1278882,1.050,1.353,1.446,1423312,0.187,2613300,0.197,0.012926,0.000400,0.004834
Edge,job_202101261615_0893,8,Youtube.vertex,InitializeSampleHD,15,0.02,0.15,16,1134890,2987624,5975248,25381,2414,20939,765199.1351885458,2201231,1.100,1.076,1.463,1622139,0.543,3225168,0.540,0.024717,0.000616,0.000674
Edge,job_202101261615_0875,8,Youtube.vertex,InitializeSampleHD,15,0.01,0.15,16,1134890,2987624,5975248,13522,2433,9162,697953.9916921289,2034899,1.086,1.128,1.511,1935319,0.648,3867907,0.647,0.032264,0.000425,0.001835
Edge,job_202101261615_1473,8,BerkeleyStan.vertex,InitializeSampleGD,10,0.015,0.2,4,685230,7600595,13298940,15944,4271,9684,559423.1361520735,1058299,1.049,1.111,1.138,1275985,0.168,2257359,0.170,0.006023,0.000746,0.002488
Edge,job_202101261615_1075,8,RoadCanada.vertex,InitializeSampleRD,5,0.02,0.2,8,1965206,5533214,5533214,40123,3714,35851,1114648.0395868274,4812389,1.012,1.012,1.013,2447624,0.442,2447624,0.442,0.000008,0.000009,0.000009
Edge,job_202101261615_0899,8,Youtube.vertex,InitializeSampleHD,10,0.01,0.2,16,1134890,2987624,5975248,25786,2583,21163,793186.9376281376,2303923,1.109,1.089,1.498,1551810,0.519,3086152,0.516,0.030849,0.000295,0.000626
Edge,job_202101261615_1302,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.01,0.2,4,685230,7600595,13298940,11912,3965,7513,588554.3038663736,1002451,1.038,1.108,1.096,793303,0.104,1399951,0.105,0.001209,0.000104,0.000731
Edge,job_202101261615_1207,8,RoadCanada.vertex,InitializeSampleGD,15,0.015,0.15,8,1965206,5533214,5533214,43796,3190,38364,1114445.7959998052,5056686,1.010,1.010,1.015,2441482,0.441,2441482,0.441,0.000011,0.000009,0.000009
Edge,job_202101261615_1310,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.015,0.2,16,685230,7600595,13298940,17731,3756,13535,546172.6836513464,1198652,1.050,1.391,1.579,1512964,0.199,2753014,0.207,0.023051,0.000422,0.004263
Edge,job_202101261615_0852,8,Youtube.vertex,InitializeSampleHD,10,0.015,0.1,4,1134890,2987624,5975248,20824,4005,14966,831432.2160298119,1990080,1.027,1.045,1.146,856184,0.287,1713685,0.287,0.001780,0.000273,0.000122
Edge,job_202101261615_0819,8,Youtube.vertex,InitializeSampleRD,15,0.01,0.2,4,1134890,2987624,5975248,16578,3479,12533,843104.4193979687,1951822,1.028,1.023,1.160,852286,0.285,1694112,0.284,0.002591,0.000084,0.000058
Edge,job_202101261615_1433,8,BerkeleyStan.vertex,InitializeSampleGD,15,0.02,0.1,16,685230,7600595,13298940,29861,12961,15344,531323.6121192826,1179365,1.050,1.432,1.580,1732035,0.228,3163231,0.238,0.011308,0.000371,0.003631
Edge,job_202101261615_1173,8,RoadCanada.vertex,InitializeSampleGD,5,0.015,0.1,4,1965206,5533214,5533214,25268,3351,19809,1167633.0067322184,4004426,1.005,1.005,1.007,2292821,0.414,2292821,0.414,0.000003,0.000003,0.000003
Edge,job_202101261615_0987,8,Youtube.vertex,InitializeSampleGD,10,0.015,0.2,4,1134890,2987624,5975248,24031,3012,19129,843990.5648158164,2089758,1.047,1.043,1.175,801841,0.268,1602165,0.268,0.002428,0.000341,0.000211
Edge,job_202101261615_0997,8,Youtube.vertex,InitializeSampleGD,10,0.02,0.2,8,1134890,2987624,5975248,23415,2975,18534,788927.5631560427,2097209,1.048,1.037,1.417,1260868,0.422,2516102,0.421,0.026855,0.000204,0.000125
Edge,job_202101261615_1141,8,RoadCanada.vertex,InitializeSampleHD,10,0.01,0.2,8,1965206,5533214,5533214,42253,3038,36844,1113013.0049661144,4966202,1.010,1.010,1.011,2445467,0.442,2445467,0.442,0.000028,0.000008,0.000008
Edge,job_202101261615_1144,8,RoadCanada.vertex,InitializeSampleHD,15,0.01,0.2,8,1965206,5533214,5533214,42050,3295,36553,1112102.4987454757,4834296,1.015,1.015,1.018,2448272,0.442,2448272,0.442,0.000018,0.000009,0.000009
Edge,job_202101261615_0824,8,Youtube.vertex,InitializeSampleRD,5,0.015,0.2,16,1134890,2987624,5975248,35000,3786,30784,819698.5753167218,2509165,1.043,1.093,1.576,1370985,0.459,2735670,0.458,0.024063,0.000136,0.000396
Edge,job_202101261615_1051,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.15,8,1965206,5533214,5533214,40829,2961,37280,1112584.0995560724,4947792,1.013,1.013,1.014,2445178,0.442,2445178,0.442,0.000016,0.000011,0.000011
Edge,job_202101261615_1494,8,Youtube.vertex,BGRAP,5,0.01,0.1,8,1134890,2987624,5975248,27997,0,27408,612141.4492922812,2519975,1.051,1.035,1.345,1324885,0.443,2648406,0.443,0.014717,0.000356,0.000304
Edge,job_202101261615_1295,8,BerkeleyStan.vertex,InitializeSampleRD,10,0.02,0.15,16,685230,7600595,13298940,18931,3672,14893,528555.7809061473,1182833,1.050,1.454,1.373,1707878,0.225,3140170,0.236,0.013280,0.000444,0.005295
Edge,job_202101261615_0955,8,Youtube.vertex,InitializeSampleGD,15,0.01,0.15,8,1134890,2987624,5975248,29855,4521,23387,777414.8979103753,2361855,1.048,1.051,1.533,1154711,0.386,2308707,0.386,0.014556,0.000249,0.000111
Edge,job_202101261615_0973,8,Youtube.vertex,InitializeSampleGD,15,0.02,0.15,8,1134890,2987624,5975248,13706,4657,6946,627746.6508642926,1678250,1.026,1.059,1.213,1816865,0.608,3620067,0.606,0.010085,0.000079,0.000584
Edge,job_202101261615_1185,8,RoadCanada.vertex,InitializeSampleGD,10,0.02,0.1,4,1965206,5533214,5533214,23350,2284,18700,1172764.3532217732,3807901,1.005,1.005,1.005,2299245,0.416,2299245,0.416,0.000002,0.000002,0.000002
Edge,job_202101261615_1264,8,BerkeleyStan.vertex,InitializeSampleRD,5,0.02,0.1,8,685230,7600595,13298940,11889,3307,8190,577645.2335990695,1078007,1.048,1.176,1.306,924661,0.122,1611905,0.121,0.009967,0.000373,0.002191
Edge,job_202101261615_1262,8,BerkeleyStan.vertex,InitializeSampleRD,15,0.015,0.1,16,685230,7600595,13298940,15916,3299,12145,549357.094849331,1166319,1.050,1.247,1.659,1552086,0.204,2839257,0.213,0.023081,0.000300,0.002458
